CHAR: Character displayed on screen or U+FFFD � if no Unicode equivalent
exists
CP: Codepoint in PETSCII
UCP: Unicode codepoint

CHAR | CP  | UCP
� H  | $68 | -      U+0048
╮ I  | $69 | U+256E U+0049
╰ J  | $6a | U+2570 U+004A
╯ K  | $6b | U+256F U+004B
� L  | $6c | -      U+004C
╲ M  | $6d | U+2572 U+004D
╱ N  | $6e | U+2571 U+004E
� O  | $6f | -      U+004F
� P  | $70 | -      U+0050
● Q  | $71 | U+25CF U+0051
� R  | $72 | -      U+0052
♥ S  | $73 | U+2665 U+0053
� T  | $74 | -      U+0054
╭ U  | $75 | U+256D U+0055
╳ V  | $76 | U+2573 U+0056
○ W  | $77 | U+25CB U+0057
♣ X  | $78 | U+2663 U+0058
� Y  | $79 | -      U+0059
♦ Z  | $7a | U+2666 U+005A
┼    | $7b | U+253C
�    | $7c | -
│    | $7d | U+2502
π ▒  | $7e | U+03C0 U+2592
◥ �  | $7f | U+25E5 -
     | $80 | -
[16] | $81 | -
     | $82 | -
     | $83 | -
     | $84 | -
[17] | $85 | -
[18] | $86 | -
[19] | $87 | -
[20] | $88 | -
[21] | $89 | -
[22] | $8a | -
[23] | $8b | -
[24] | $8c | -
[25] | $8d | U+000A
[26] | $8e | -
     | $8f | -
[27] | $90 | -
[28] | $91 | -
[29] | $92 | -
[30] | $93 | -
[31] | $94 | -
[32] | $95 | -
[33] | $96 | -
[34] | $97 | -
[35] | $98 | -
[36] | $99 | -
[37] | $9a | -
[38] | $9b | -
[39] | $9c | -
[40] | $9d | -
[41] | $9e | -
[42] | $9f | -
[43] | $a0 | U+00A0
▌    | $a1 | U+258C
▄    | $a2 | U+2584
▔    | $a3 | U+2594
▁    | $a4 | U+2581
▏    | $a5 | U+258F
▒    | $a6 | U+2592
▕    | $a7 | U+2595
�    | $a8 | -
◤ �  | $a9 | U+25E4 -
�    | $aa | -
├    | $ab | U+251C
▗    | $ac | U+2597
└    | $ad | U+2514
┐    | $ae | U+2510
▂    | $af | U+2582
┌    | $b0 | U+250C
┴    | $b1 | U+2534
┬    | $b2 | U+252C
┤    | $b3 | U+2524
▎    | $b4 | U+258E
▍    | $b5 | U+258D
�    | $b6 | -
�    | $b7 | -
�    | $b8 | -
▃    | $b9 | U+2583
� ✓  | $ba | -      U+2713
▖    | $bb | U+2596
▝    | $bc | U+259D
┘    | $bd | U+2518
▘    | $be | U+2598
▚    | $bf | U+259A
━    | $c0 | U+2500
♠ A  | $c1 | U+2660 U+0041
│ B  | $c2 | U+2502 U+0042
━ C  | $c3 | U+2500 U+0043
� D  | $c4 | -      U+0044
� E  | $c5 | -      U+0045
� F  | $c6 | -      U+0046
� G  | $c7 | -      U+0047
� H  | $c8 | -      U+0048
╮ I  | $c9 | U+256E U+0049
╰ J  | $ca | U+2570 U+004A
╯ K  | $cb | U+256F U+004B
� L  | $cc | -      U+004C
╲ M  | $cd | U+2572 U+004D
╱ N  | $ce | U+2571 U+004E
� O  | $cf | -      U+004F
� P  | $d0 | -      U+0050
● Q  | $d1 | U+25CF U+0051
� R  | $d2 | -      U+0052
♥ S  | $d3 | U+2665 U+0053
� T  | $d4 | -      U+0054
╭ U  | $d5 | U+256D U+0055
╳ V  | $d6 | U+2573 U+0056
○ W  | $d7 | U+25CB U+0057
♣ X  | $d8 | U+2663 U+0058
� Y  | $d9 | -      U+0059
♦ Z  | $da | U+2666 U+005A
┼    | $db | U+253C
�    | $dc | -
│    | $dd | U+2502
π ▒  | $de | U+03C0 U+2592
◥ �  | $df | U+25E5 -
[44] | $e0 | U+00A0
▌    | $e1 | U+258C
▄    | $e2 | U+2584
▔    | $e3 | U+2594
▁    | $e4 | U+2581
▏    | $e5 | U+258F
▒    | $e6 | U+2592
▕    | $e7 | U+2595
�    | $e8 | -
◤ �  | $e9 | U+25E4 -
�    | $ea | -
├    | $eb | U+251C
▗    | $ec | U+2597
└    | $ed | U+2514
┐    | $ee | U+2510
▂    | $ef | U+2582
┌    | $f0 | U+250C
┴    | $f1 | U+2534
┬    | $f2 | U+252C
┤    | $f3 | U+2524
▎    | $f4 | U+258E
▍    | $f5 | U+258D
�    | $f6 | -
�    | $f7 | -
�    | $f8 | -
▃    | $f9 | U+2583
� ✓  | $fa | -      U+2713
▖    | $fb | U+2596
▝    | $fc | U+259D
┘    | $fd | U+2518
▘    | $fe | U+2598
π ▒  | $ff | U+03C0 U+2592

[0]:  CHARACTER
[1]:  RUN / STOP
[2]:  WHITE
[3]:  SHIFT DISABLE
[4]:  SHIFT ENABLE
[5]:  CR
[6]:  TEXT MODE
[7]:  DOWN
[8]:  REVERSE ON
[9]: HOME
[10]: DEL
[11]: RED
[12]: RIGHT
[13]: GREEN
[14]: BLUE
[15]: SP
[16]: ORANGE
[17]: F1
[18]: F3
[19]: F5
[20]: F7
[21]: F2
[22]: F4
[23]: F6
[24]: F8
[25]: LF
[26]: GRAPHICS
[27]: BLACK
[28]: UP
[29]: REVERSE OFF
[30]: CLR
[31]: INSERT
[32]: BROWN
[33]: LIGHT RED
[34]: DARK GRAY
[35]: MIDDLE GRAY
[36]: LIGHT GREEN
[37]: LIGHT BLUE
[38]: LIGHT GRAY
[39]: PURPLE
[40]: LEFT
[41]: YELLOW
[42]: CYAN
[43]: SHIFT-SPACE (Hard / non-breaking space)
[44]: SHIFT-SPACE (Hard / non-breaking space)
